user_id,cnn_roc_auc,ae_roc_auc,delta_cnn_minus_ae
0,1.0,1.0,0.0
1,1.0,1.0,0.0
2,1.0,0.8500000000000001,0.1499999999999999
3,1.0,0.8666666666666667,0.1333333333333333
4,1.0,1.0,0.0
5,1.0,0.8500000000000001,0.1499999999999999
6,1.0,0.9272727272727272,0.07272727272727275
7,1.0,0.8500000000000001,0.1499999999999999
8,1.0,0.8,0.19999999999999996
9,1.0,1.0,0.0
10,1.0,1.0,0.0
11,1.0,0.8500000000000001,0.1499999999999999
12,1.0,0.8333333333333334,0.16666666666666663
13,1.0,0.8181818181818181,0.18181818181818188
14,1.0,0.9333333333333333,0.06666666666666665
15,1.0,1.0,0.0
16,1.0,0.8833333333333334,0.11666666666666659
17,1.0,1.0,0.0
18,1.0,1.0,0.0
19,1.0,1.0,0.0
20,1.0,0.9818181818181819,0.018181818181818077
21,1.0,0.9166666666666667,0.08333333333333326
22,1.0,0.9666666666666668,0.033333333333333215
23,1.0,1.0,0.0
24,1.0,0.890909090909091,0.10909090909090902
25,1.0,1.0,0.0
26,1.0,0.9,0.09999999999999998
27,1.0,0.6666666666666667,0.33333333333333326
28,1.0,0.8500000000000001,0.1499999999999999
29,1.0,0.75,0.25
30,1.0,0.9500000000000001,0.04999999999999993
31,1.0,1.0,0.0
32,1.0,0.7333333333333334,0.2666666666666666
33,1.0,1.0,0.0
34,0.9666666666666667,0.7333333333333334,0.23333333333333328
35,1.0,0.9833333333333334,0.016666666666666607
36,1.0,0.9636363636363637,0.036363636363636265
37,1.0,0.8333333333333333,0.16666666666666674
38,1.0,0.8545454545454546,0.1454545454545454
39,1.0,1.0,0.0
40,1.0,0.7333333333333334,0.2666666666666666
41,1.0,0.8363636363636364,0.16363636363636358
42,1.0,0.8500000000000001,0.1499999999999999
43,1.0,0.9166666666666667,0.08333333333333326
44,1.0,0.7090909090909091,0.2909090909090909
45,1.0,1.0,0.0
46,1.0,1.0,0.0
47,1.0,1.0,0.0
48,1.0,1.0,0.0
49,1.0,1.0,0.0
MEAN,0.9993333333333334,0.9096363636363637,0.08969696969696972
