user_id,global_AUC,global_TPR,global_FPR,global_FNR,cal_AUC,cal_TPR,cal_FPR,cal_tau,cal_a,cal_b,delta_TPR_cal,delta_FPR_cal,head_AUC,head_TPR,head_FPR,head_tau,delta_TPR_head,delta_FPR_head
0,1.0,1.0,0.0,0.0,1.0,0.8,0.0,0.6,1.0800591647096187,-0.6358036676905733,-0.19999999999999996,0.0,1.0,0.8,0.0,0.6,-0.19999999999999996,0.0
1,1.0,1.0,0.0,0.0,1.0,0.9,0.0,0.5,0.9999999564553519,-0.7927974023531982,-0.09999999999999998,0.0,1.0,0.9,0.0,0.5,-0.09999999999999998,0.0
2,1.0,0.8,0.0,0.2,1.0,0.5,0.0,0.5700000000000001,1.0843744008434721,-0.6270163822324296,-0.30000000000000004,0.0,1.0,0.5,0.0,0.5700000000000001,-0.30000000000000004,0.0
3,1.0,0.9,0.0,0.1,1.0,0.8,0.0,0.5,0.9811159631301144,-0.8005166640357511,-0.09999999999999998,0.0,1.0,0.8,0.0,0.5,-0.09999999999999998,0.0
4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.39,1.023469984620173,-0.588327180260446,0.0,0.0,1.0,1.0,0.0,0.39,0.0,0.0
5,1.0,0.8,0.0,0.2,1.0,0.6,0.0,0.5,0.9637652198490942,-0.8075571832996742,-0.20000000000000007,0.0,1.0,0.6,0.0,0.5,-0.20000000000000007,0.0
6,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.9999890310283909,-0.7928025971099489,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0
7,1.0,0.8,0.0,0.2,1.0,0.8,0.0,0.44,1.0914445549315617,-0.5401196370173135,0.0,0.0,1.0,0.8,0.0,0.44,0.0,0.0
8,1.0,0.9,0.0,0.1,1.0,0.9,0.0,0.5,0.9996542987367695,-0.7929612147194767,0.0,0.0,1.0,0.9,0.0,0.5,0.0,0.0
9,1.0,0.9,0.0,0.1,1.0,0.8,0.0,0.5,0.9998754270058784,-0.7928565782932981,-0.09999999999999998,0.0,1.0,0.8,0.0,0.5,-0.09999999999999998,0.0
10,1.0,1.0,0.0,0.0,1.0,0.7,0.0,0.5,0.9999999837917511,-0.7927973893547805,-0.30000000000000004,0.0,1.0,0.7,0.0,0.5,-0.30000000000000004,0.0
11,1.0,0.8,0.0,0.2,1.0,0.8,0.0,0.49,1.0727336738617879,-0.6159858445348336,0.0,0.0,1.0,0.8,0.0,0.49,0.0,0.0
